,薬効分類名称,一般名,剤形,総計(処方数量),男_0～4歳,男_5～9歳,男_10～14歳,男_15～19歳,男_20～24歳,男_25～29歳,男_30～34歳,男_35～39歳,男_40～44歳,男_45～49歳,男_50～54歳,男_55～59歳,男_60～64歳,男_65～69歳,男_70～74歳,男_75～79歳,男_80～84歳,男_85～89歳,男_90～94歳,男_95～99歳,男_100歳以上,女_0～4歳,女_5～9歳,女_10～14歳,女_15～19歳,女_20～24歳,女_25～29歳,女_30～34歳,女_35～39歳,女_40～44歳,女_45～49歳,女_50～54歳,女_55～59歳,女_60～64歳,女_65～69歳,女_70～74歳,女_75～79歳,女_80～84歳,女_85～89歳,女_90～94歳,女_95～99歳,女_100歳以上
4611,痔疾用剤,トリベノシド・リドカイン,その他（外用）,15115015.0,0.0,1416.0,4622.0,28144.0,62195.0,113801.0,163470.0,231305.0,288736.0,389082.0,496833.0,554812.0,649700.0,812132.0,1263092.0,1394282.0,1135445.0,663021.0,236484.0,41461.0,2921.0,0.0,0.0,3918.0,22785.0,66852.0,142575.0,187870.0,228337.0,259984.0,313978.0,374058.0,368135.0,405556.0,465848.0,792346.0,941079.0,881923.0,673992.0,339068.0,98280.0,9872.0
4194,漢方製剤,四物湯エキス,錠剤,15069034.0,0.0,66566.0,500726.0,628513.0,521112.0,496009.0,350519.0,309516.0,242989.0,283676.0,224484.0,163198.0,80553.0,58628.0,45697.0,57826.0,39000.0,20296.0,7064.0,0.0,0.0,0.0,50533.0,676564.0,1385651.0,1111934.0,1088076.0,956619.0,903978.0,894556.0,1057958.0,1002240.0,601985.0,336244.0,222510.0,221508.0,185217.0,129562.0,82222.0,36822.0,16664.0,2046.0
1189,たん白アミノ酸製剤,総合アミノ酸製剤,散剤・顆粒剤,15026056.0,12135.0,65467.0,120661.0,108677.0,51918.0,65626.0,78693.0,114247.0,160168.0,187449.0,243426.0,286461.0,313108.0,332639.0,499707.0,613134.0,679623.0,645361.0,312484.0,92458.0,10790.0,5298.0,21414.0,86218.0,121491.0,109875.0,198925.0,321447.0,469384.0,501807.0,545160.0,580083.0,462059.0,411874.0,374324.0,634915.0,804306.0,1064585.0,1307635.0,1239440.0,623209.0,132213.0
5024,精神神経用剤,スルピリド,錠剤,15003680.0,0.0,0.0,8067.0,84879.0,193048.0,280492.0,403793.0,594159.0,798415.0,1213439.0,1497020.0,1434981.0,1135272.0,809932.0,688141.0,387221.0,160177.0,47395.0,11686.0,0.0,0.0,0.0,0.0,12631.0,58066.0,98438.0,130412.0,114969.0,158138.0,249866.0,409004.0,622535.0,653729.0,578180.0,560567.0,630636.0,468172.0,270955.0,132077.0,40609.0,10328.0,0.0
662,その他の循環器官用薬,ポリスチレンスルホン酸カルシウム,散剤・顆粒剤,14975323.0,0.0,3752.0,3696.0,3416.0,3842.0,3114.0,16450.0,21980.0,141485.0,228041.0,404184.0,480953.0,665701.0,977565.0,1523203.0,1695058.0,1722094.0,1153290.0,434943.0,111491.0,22366.0,0.0,1848.0,4155.0,0.0,0.0,5321.0,3764.0,19704.0,19259.0,55846.0,132123.0,177198.0,171960.0,304924.0,654272.0,914096.0,939878.0,1023401.0,638078.0,226597.0,50225.0
810,その他の消化器官用薬,※未登録：コロネル細粒８３．３％,散剤・顆粒剤,14943010.0,8380.0,58502.0,153196.0,144912.0,89942.0,120987.0,164916.0,199104.0,236477.0,340620.0,460569.0,535639.0,596189.0,598373.0,738436.0,814295.0,732078.0,567204.0,206872.0,50107.0,5210.0,5736.0,41884.0,122148.0,138674.0,111015.0,142192.0,164602.0,224599.0,304544.0,427353.0,571041.0,599124.0,578658.0,571277.0,810085.0,923215.0,909220.0,818430.0,454938.0,162394.0,34903.0
116,その他のアレルギー用薬,※未登録：ベポタスチンベシル酸塩錠１０ｍｇ「サワイ」,錠剤,14922615.0,0.0,143600.0,547429.0,433204.0,285899.0,279636.0,317668.0,381287.0,424008.0,459789.0,474688.0,416878.0,397825.0,409686.0,444718.0,434742.0,332440.0,194126.0,69564.0,10774.0,0.0,0.0,96639.0,412973.0,402960.0,338819.0,379465.0,425720.0,526927.0,644851.0,772891.0,767281.0,643744.0,594941.0,540721.0,581872.0,514333.0,385463.0,249701.0,131274.0,39267.0,0.0
5607,血圧降下剤,エホニジピン塩酸塩エタノール付加物,錠剤,14922382.0,0.0,0.0,0.0,0.0,0.0,2912.0,8913.0,19482.0,53433.0,132690.0,256390.0,367689.0,526429.0,738579.0,1108305.0,1192938.0,980164.0,678829.0,274925.0,54623.0,3165.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,13037.0,36050.0,82905.0,190972.0,289123.0,442622.0,738559.0,1328171.0,1609456.0,1600432.0,1269727.0,680790.0,187623.0,37415.0
5047,精神神経用剤,ヒドロキシジン塩酸塩,錠剤,14913598.0,0.0,69148.0,183833.0,198172.0,205827.0,226363.0,244129.0,294538.0,383549.0,473831.0,543451.0,501860.0,478064.0,494555.0,655463.0,677057.0,609249.0,435408.0,208459.0,37678.0,2469.0,0.0,53137.0,170238.0,176041.0,181257.0,224293.0,238622.0,318768.0,431963.0,608811.0,705248.0,597382.0,548270.0,492784.0,637586.0,690051.0,699782.0,610275.0,416559.0,153158.0,21744.0
964,その他の腫瘍用薬,アビラテロン酢酸エステル,錠剤,14902439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3237.0,17712.0,75930.0,217993.0,583100.0,1285434.0,3135919.0,3741323.0,3382636.0,1902141.0,491424.0,61115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
