医薬品名,薬価基準収載医薬品コード,一般名,薬剤区分
解凍赤血球液－ＬＲ「日赤」,6342403X5027,解凍人赤血球液,注射
赤血球液－ＬＲ「日赤」,6342405X3031,人赤血球液,注射
新鮮凍結血漿－ＬＲ「日赤」１２０,6342406X7031,新鮮凍結人血漿,注射
新鮮凍結血漿－ＬＲ「日赤」２４０,6342406X8038,新鮮凍結人血漿,注射
新鮮凍結血漿－ＬＲ「日赤」４８０,6342406X9026,新鮮凍結人血漿,注射
洗浄赤血球液－ＬＲ「日赤」,6342408X5020,洗浄人赤血球液,注射
濃厚血小板ＨＬＡ－ＬＲ「日赤」,6342409X1037,人血小板濃厚液ＨＬＡ,注射
照射赤血球液－ＬＲ「日赤」,6342410X3032,人赤血球液,注射
照射濃厚血小板－ＬＲ「日赤」,6342411X1034,人血小板濃厚液,注射
照射濃厚血小板－ＬＲＢＳ「日赤」,6342411X3045,人血小板濃厚液,注射
照射濃厚血小板ＨＬＡ－ＬＲ「日赤」,6342412X1039,人血小板濃厚液ＨＬＡ,注射
照射濃厚血小板ＨＬＡ－ＬＲＢＳ「日赤」,6342412X1047,人血小板濃厚液ＨＬＡ,注射
照射解凍赤血球液－ＬＲ「日赤」,6342413X5020,解凍人赤血球液,注射
照射合成血液－ＬＲ「日赤」,6342414X5025,合成血,注射
照射洗浄赤血球液－ＬＲ「日赤」,6342415X5020,洗浄人赤血球液,注射
照射洗浄血小板－ＬＲ「日赤」,6342417X1023,人血小板濃厚液,注射
照射洗浄血小板－ＬＲＢＳ「日赤」,6342417X1031,人血小板濃厚液,注射
照射洗浄血小板ＨＬＡ－ＬＲ「日赤」,6342418X1028,人血小板濃厚液ＨＬＡ,注射
照射洗浄血小板ＨＬＡ－ＬＲＢＳ「日赤」,6342418X1036,人血小板濃厚液ＨＬＡ,注射
献血ベニロン－Ｉ静注用５００ｍｇ,6343400X1041,乾燥スルホ化人免疫グロブリン,注射
献血ベニロン－Ｉ静注用２５００ｍｇ,6343400X3044,乾燥スルホ化人免疫グロブリン,注射
献血ベニロン－Ｉ静注用５０００ｍｇ,6343400X5020,乾燥スルホ化人免疫グロブリン,注射
献血グロベニン－Ｉ静注用５００ｍｇ,6343402X1075,乾燥ポリエチレングリコール処理人免疫グロブリン,注射
献血グロベニン－Ｉ静注用２５００ｍｇ,6343402X2071,乾燥ポリエチレングリコール処理人免疫グロブリン,注射
献血グロベニン－Ｉ静注用５０００ｍｇ,6343402X3035,乾燥ポリエチレングリコール処理人免疫グロブリン,注射
抗ＨＢｓ人免疫グロブリン,6343404X1015,抗ＨＢｓ人免疫グロブリン,注射
乾燥濃縮人血液凝固第Ⅷ因子,6343406X5010,乾燥濃縮人血液凝固第Ⅷ因子,注射
乾燥抗Ｄ（Ｒｈｏ）人免疫グロブリン,6343407X2015,乾燥抗Ｄ（Ｒｈｏ）人免疫グロブリン,注射
乾燥抗破傷風人免疫グロブリン,6343408X1013,乾燥抗破傷風人免疫グロブリン,注射
乾燥人血液凝固第Ⅸ因子複合体,6343409X5013,乾燥人血液凝固第Ⅸ因子複合体,注射
献血アルブミン５％静注５ｇ／１００ｍＬ「ＪＢ」,6343410X1088,人血清アルブミン,注射
アルブミナー５％静注１２．５ｇ／２５０ｍＬ,6343410X2106,人血清アルブミン,注射
献血アルブミン５％静注１２．５ｇ／２５０ｍＬ「ＪＢ」,6343410X2130,人血清アルブミン,注射
献血アルブミン５％静注１２．５ｇ／２５０ｍＬ「タケダ」,6343410X2149,人血清アルブミン,注射
献血アルブミン２０％静注４ｇ／２０ｍＬ「ＪＢ」,6343410X3129,人血清アルブミン,注射
献血アルブミン２０％静注４ｇ／２０ｍＬ「タケダ」,6343410X3145,人血清アルブミン,注射
献血アルブミン２５％静注５ｇ／２０ｍＬ「ベネシス」,6343410X4087,人血清アルブミン,注射
献血アルブミン２５％静注１２．５ｇ／５０ｍＬ「ベネシス」,6343410X5199,人血清アルブミン,注射
アルブミナー２５％静注１２．５ｇ／５０ｍＬ,6343410X5202,人血清アルブミン,注射
赤十字アルブミン２５％静注１２．５ｇ／５０ｍＬ,6343410X5210,人血清アルブミン,注射
献血アルブミン２５％静注１２．５ｇ／５０ｍＬ「ＫＭＢ」,6343410X5245,人血清アルブミン,注射
献血アルブミン２５％静注１２．５ｇ／５０ｍＬ「タケダ」,6343410X5253,人血清アルブミン,注射
アルブミン－ベーリング２０％静注１０．０ｇ／５０ｍＬ,6343410X6144,人血清アルブミン,注射
献血アルブミン２０％静注１０ｇ／５０ｍＬ「ＪＢ」,6343410X6179,人血清アルブミン,注射
献血アルブミン２０％静注１０ｇ／５０ｍＬ「ＫＭＢ」,6343410X6195,人血清アルブミン,注射
献血アルブミン２０％静注１０ｇ／５０ｍＬ「タケダ」,6343410X6209,人血清アルブミン,注射
献血アルブミン２５％静注２５ｇ／１００ｍＬ「ＫＭＢ」,6343410X7027,人血清アルブミン,注射
乾燥人フィブリノゲン,6343411X1015,乾燥人フィブリノゲン,注射
人免疫グロブリン,6343412X1010,人免疫グロブリン,注射
グロブリン筋注４５０ｍｇ／３ｍＬ「ＪＢ」,6343412X1168,人免疫グロブリン,注射
グロブリン筋注１５００ｍｇ／１０ｍＬ「ＪＢ」,6343412X1176,人免疫グロブリン,注射
ファイバ静注用１０００,6343414X2058,乾燥人血液凝固因子抗体迂回活性複合体,注射
テタガムＰ筋注シリンジ２５０,6343415G1021,抗破傷風人免疫グロブリン,注射
抗破傷風人免疫グロブリン,6343415X1013,抗破傷風人免疫グロブリン,注射
人ハプトグロビン,6343419X1011,人ハプトグロビン,注射
ガンマガード静注用５ｇ,6343420X2029,乾燥イオン交換樹脂処理人免疫グロブリン,注射
乾燥抗ＨＢｓ人免疫グロブリン,6343423X1018,乾燥抗ＨＢｓ人免疫グロブリン,注射
乾燥ＨＢグロブリン筋注用２００単位「ニチヤク」,6343423X1050,乾燥抗ＨＢｓ人免疫グロブリン,注射
乾燥ＨＢグロブリン筋注用１０００単位「ニチヤク」,6343423X2057,乾燥抗ＨＢｓ人免疫グロブリン,注射
乾燥濃縮人アンチトロンビンⅢ,6343424D2012,乾燥濃縮人アンチトロンビンⅢ,注射
ベリナート皮下注用２０００,6343426D1023,乾燥濃縮人Ｃ１－インアクチベーター,注射
ベリナートＰ静注用５００,6343426F1032,乾燥濃縮人Ｃ１－インアクチベーター,注射
ピリヴィジェン１０％静注５ｇ／５０ｍＬ,6343427A7038,ｐＨ４処理酸性人免疫グロブリン,注射
ピリヴィジェン１０％静注１０ｇ／１００ｍＬ,6343427A8034,ｐＨ４処理酸性人免疫グロブリン,注射
ピリヴィジェン１０％静注２０ｇ／２００ｍＬ,6343427A9030,ｐＨ４処理酸性人免疫グロブリン,注射
ピリヴィジェン１０％静注２．５ｇ／２５ｍＬ,6343427H1020,ｐＨ４処理酸性人免疫グロブリン,注射
グロベニン－Ｉ１０％静注５ｇ／５０ｍＬ,6343427H2026,ｐＨ４処理酸性人免疫グロブリン,注射
グロベニン－Ｉ１０％静注１０ｇ／１００ｍＬ,6343427H3022,ｐＨ４処理酸性人免疫グロブリン,注射
グロベニン－Ｉ１０％静注２０ｇ／２００ｍＬ,6343427H4029,ｐＨ４処理酸性人免疫グロブリン,注射
ポリエチレングリコール処理人免疫グロブリン５ｇ１００ｍＬ注射液,6343428A4017,ポリエチレングリコール処理人免疫グロブリン,注射
献血ヴェノグロブリンＩＨ１０％静注０．５ｇ／５ｍＬ,6343428A6028,ポリエチレングリコール処理人免疫グロブリン,注射
献血ヴェノグロブリンＩＨ１０％静注２．５ｇ／２５ｍＬ,6343428A7024,ポリエチレングリコール処理人免疫グロブリン,注射
献血ヴェノグロブリンＩＨ１０％静注５ｇ／５０ｍＬ,6343428A8020,ポリエチレングリコール処理人免疫グロブリン,注射
献血ヴェノグロブリンＩＨ１０％静注１０ｇ／１００ｍＬ,6343428A9027,ポリエチレングリコール処理人免疫グロブリン,注射
献血ヴェノグロブリンＩＨ１０％静注２０ｇ／２００ｍＬ,6343428H1024,ポリエチレングリコール処理人免疫グロブリン,注射
乾燥濃縮人血液凝固第Ⅸ因子,6343429D6010,乾燥濃縮人血液凝固第Ⅸ因子,注射
ノバクトＭ静注用５００単位,6343429D7041,乾燥濃縮人血液凝固第Ⅸ因子,注射
ノバクトＭ静注用２０００単位,6343429L2028,乾燥濃縮人血液凝固第Ⅸ因子,注射
フィブロガミンＰ静注用,6343431D2020,ヒト血漿由来乾燥血液凝固第ⅩⅢ因子,注射
アドベイト静注用キット２５０,6343432G1025,ルリオクトコグアルファ（遺伝子組換え）,注射
アドベイト静注用キット５００,6343432G2021,ルリオクトコグアルファ（遺伝子組換え）,注射
アドベイト静注用キット１０００,6343432G3028,ルリオクトコグアルファ（遺伝子組換え）,注射
アドベイト静注用キット１５００,6343432G4024,ルリオクトコグアルファ（遺伝子組換え）,注射
アドベイト静注用キット２０００,6343432G5020,ルリオクトコグアルファ（遺伝子組換え）,注射
アドベイト静注用キット３０００,6343432G6027,ルリオクトコグアルファ（遺伝子組換え）,注射
ポリエチレングリコール処理抗破傷風人免疫グロブリン,6343433A1019,ポリエチレングリコール処理抗破傷風人免疫グロブリン,注射
ノボセブンＨＩ静注用１ｍｇ　シリンジ,6343434D6020,エプタコグアルファ（活性型）（遺伝子組換え）,注射
ノボセブンＨＩ静注用２ｍｇ　シリンジ,6343434D7026,エプタコグアルファ（活性型）（遺伝子組換え）,注射
ノボセブンＨＩ静注用５ｍｇ　シリンジ,6343434D8022,エプタコグアルファ（活性型）（遺伝子組換え）,注射
注射用アナクトＣ２，５００単位,6343435D1022,乾燥濃縮人活性化プロテインＣ,注射
ポリエチレングリコール処理抗ＨＢｓ人免疫グロブリン,6343436A1012,ポリエチレングリコール処理抗ＨＢｓ人免疫グロブリン,注射
ベネフィクス静注用５００,6343438D1026,ノナコグアルファ（遺伝子組換え）,注射
ベネフィクス静注用１０００,6343438D2022,ノナコグアルファ（遺伝子組換え）,注射
ベネフィクス静注用２０００,6343438D3029,ノナコグアルファ（遺伝子組換え）,注射
ベネフィクス静注用３０００,6343438D4025,ノナコグアルファ（遺伝子組換え）,注射
ハイゼントラ２０％皮下注１ｇ／５ｍＬ,6343439A1024,ｐＨ４処理酸性人免疫グロブリン（皮下注射）,注射
ハイゼントラ２０％皮下注２ｇ／１０ｍＬ,6343439A2020,ｐＨ４処理酸性人免疫グロブリン（皮下注射）,注射
ハイゼントラ２０％皮下注４ｇ／２０ｍＬ,6343439A3027,ｐＨ４処理酸性人免疫グロブリン（皮下注射）,注射
キュービトル２０％皮下注２ｇ／１０ｍＬ,6343439A4023,ｐＨ４処理酸性人免疫グロブリン（皮下注射）,注射
キュービトル２０％皮下注４ｇ／２０ｍＬ,6343439A5020,ｐＨ４処理酸性人免疫グロブリン（皮下注射）,注射
キュービトル２０％皮下注８ｇ／４０ｍＬ,6343439A6026,ｐＨ４処理酸性人免疫グロブリン（皮下注射）,注射
ハイゼントラ２０％皮下注１ｇ／５ｍＬシリンジ,6343439G1027,ｐＨ４処理酸性人免疫グロブリン（皮下注射）,注射
ハイゼントラ２０％皮下注２ｇ／１０ｍＬシリンジ,6343439G2023,ｐＨ４処理酸性人免疫グロブリン（皮下注射）,注射
ハイゼントラ２０％皮下注４ｇ／２０ｍＬシリンジ,6343439G3020,ｐＨ４処理酸性人免疫グロブリン（皮下注射）,注射
ノボエイト静注用２５０,6343440D1023,ツロクトコグ　アルファ（遺伝子組換え）,注射
ノボエイト静注用５００,6343440D2020,ツロクトコグ　アルファ（遺伝子組換え）,注射
ノボエイト静注用１０００,6343440D3026,ツロクトコグ　アルファ（遺伝子組換え）,注射
ノボエイト静注用１５００,6343440D4022,ツロクトコグ　アルファ（遺伝子組換え）,注射
ノボエイト静注用２０００,6343440D5029,ツロクトコグ　アルファ（遺伝子組換え）,注射
ノボエイト静注用３０００,6343440D6025,ツロクトコグ　アルファ（遺伝子組換え）,注射
オルプロリクス静注用５００,6343441D1028,エフトレノナコグ　アルファ（遺伝子組換え）,注射
オルプロリクス静注用１０００,6343441D2024,エフトレノナコグ　アルファ（遺伝子組換え）,注射
オルプロリクス静注用２０００,6343441D3020,エフトレノナコグ　アルファ（遺伝子組換え）,注射
